score;colgpa;act;male
75,41;2,3035;20;1
86,07;3,2069;22;1
77,05;3,1428;20;1
75,41;2,4642;22;0
45,9;1,931;19;0
73,77;2,6551;27;1
73,77;2,4583;21;1
76,23;2,8387;27;1
72,13;2,1296;23;1
86,89;3,3148;21;1
76,23;2,6538;22;1
87,7;3,5344;23;0
85,25;3,52;29;1
69,67;2,5714;28;0
62,3;3;20;0
86,89;3,0147;25;0
61,48;2,5714;22;0
71,31;2,8103;27;1
68,03;3,0185;19;0
77,87;2,8958;18;0
86,89;3,6911;25;0
64,75;2,85;25;1
85,25;3,3448;21;0
84,43;3,8461;27;1
83,61;2,4107;22;1
74,59;3,106;20;0
72,95;2,5535;25;0
80,33;3,2941;23;0
73,77;3,2241;22;0
70,49;1,75;24;1
62,3;2,7321;22;1
78,69;2,85;19;1
40,16;1,8448;23;1
83,61;3,1785;23;1
87,7;3,0555;22;0
75,41;3;27;1
61,48;2,3571;22;1
72,95;2,9827;26;0
76,23;2,4791;28;1
59,84;2,6666;21;1
60,66;2,04;20;0
90,16;2,8571;27;1
67,21;2,6034;20;1
86,89;3,8035;23;0
68,85;2,25;20;1
46,72;1,4074;16;1
63,11;2,7142;30;1
86,89;3,1875;26;1
55,74;2,3666;21;0
71,31;1,923;22;1
53,28;2,25;21;0
75,41;2,3478;22;1
72,13;3,6724;19;0
73,77;3,1034;23;1
60,66;3,4464;22;0
95,08;3,9285;26;1
63,93;2,4814;22;0
60,66;2,9189;25;0
56,56;2,0192;23;1
68,85;3,58;23;0
78,69;2,8035;25;1
71,31;2,0909;23;1
77,87;2,8035;23;1
77,87;3,2069;22;0
68,85;2,9821;23;1
56,56;2,4464;24;1
76,23;3,3653;26;0
72,13;2,14;21;0
56,56;2,875;21;1
94,26;3,7424;31;1
74,59;2,3333;21;0
72,13;3,3871;27;0
69,67;2,84;22;1
67,21;3,0357;18;0
71,31;1,9464;25;1
59,02;2,6111;21;0
83,61;3,7321;25;0
80,33;3,2758;20;1
59,02;2,6666;25;0
71,31;2,0689;22;0
61,48;1,8928;17;1
72,95;1,6956;25;1
58,2;2,75;21;0
80,33;3,1666;24;1
75,41;2,66;21;1
67,21;2,6666;22;1
84,43;2,94;22;0
46,72;2,6724;26;0
54,1;2,4827;20;0
59,02;1,9516;19;0
76,23;2,8666;24;1
72,95;3,125;23;1
50,82;2,4821;20;0
72,13;3,1785;26;0
70,49;2,3392;20;1
68,03;1,9444;19;1
78,69;1,8965;20;0
61,48;2,4464;17;1
74,59;3,074;26;0
83,61;3,1666;24;0
77,87;3,3157;20;1
47,54;2,0192;23;0
69,67;2,9;18;1
67,21;3,625;22;0
75,78;2,4056;19;0
67,19;2,7857;24;0
55,47;1,9375;20;0
87,5;2,7226;26;0
82,03;2,7554;28;1
68,75;2,3835;22;0
57,03;2,0542;20;1
72,66;3,018;23;1
82,03;2,4864;25;1
79,69;2,4485;19;1
75,78;2,9545;32;1
58,59;2,5625;16;0
82,03;2,5584;21;0
70,31;2,9602;26;1
58,59;2,4074;23;0
79,69;3,492;23;1
66,41;2,7777;23;0
87,5;2,2812;25;1
60,16;1,8593;18;0
77,34;3,6428;26;0
89,06;3,1632;25;1
82,03;2,9224;22;0
78,13;2,8363;29;0
93,75;3,6724;28;0
58,59;2,7363;20;0
86,72;3,5307;25;0
60,16;3,0588;24;0
69,53;2,5543;24;0
51,56;2,2291;20;0
44,53;2,0769;15;1
57,81;2,6727;21;1
94,53;3,4745;22;0
59,38;2,3365;21;0
96,09;3,5793;18;1
76,56;2,8467;22;1
86,72;3,0636;23;0
93,75;3,5555;23;1
92,19;2,1734;29;1
75;2,8043;24;1
94,53;3,75;28;1
93,75;2,8965;24;1
89,06;3,3771;23;1
81,25;3,2244;32;1
53,91;2,8474;31;0
78,91;2,4074;23;0
59,38;3,2916;22;0
61,72;2,625;25;1
53,91;2,25;23;0
85,16;2,9583;26;1
58,59;2,75;21;1
87,5;3,241;23;1
57,81;2,051;20;1
92,19;3,2539;22;1
89,84;2,8508;21;1
86,72;2,3333;23;1
85,94;3,3392;24;0
71,88;3,4629;21;0
94,53;3,8448;31;1
58,59;3,1851;16;1
74,22;2,9285;29;1
50;2,9285;21;0
50;1,9512;17;0
48,44;1,8278;21;1
47,66;1,9607;18;1
85,94;3,0254;22;0
52,34;2,629;21;0
79,69;3,3392;25;1
78,91;2,5744;24;1
83,59;3,3871;27;0
75;2,8125;23;0
84,38;3,1034;26;0
93,75;3,1206;23;0
80,47;3,3928;23;0
82,03;3,5;25;0
43,75;2,0777;17;1
88,28;2,46;25;0
53,91;2,0714;22;0
78,13;2,5454;23;0
69,53;2,6724;24;1
77,34;2,95;21;1
82,03;2,6166;26;1
66,41;2,7857;21;0
48,44;2,3636;31;1
77,34;2,5535;21;1
67,97;2,7413;29;1
83,59;3,56;22;1
89,84;2,9464;22;0
47,66;2,5357;21;0
86,72;3,8214;29;0
68,75;2,7142;24;1
57,03;3,7419;30;0
78,13;3,0892;20;0
89,06;3,5;26;0
64,84;2,7656;22;0
69,53;3,4482;23;1
88,28;3,7678;27;0
45,31;2,3653;20;0
65,63;3,1896;26;0
93,75;3,6538;24;1
79,69;3;24;1
82,81;2,9137;22;1
63,28;2,673;21;1
70,31;2,9333;21;0
75,78;3,9285;25;0
92,19;3,54;21;0
71,88;2,3928;21;1
83,59;3,4;23;0
54,69;1,7407;25;1
87,5;2,3214;24;0
82,03;2,875;29;1
64,84;2,2692;21;1
82,03;3,0227;24;0
75,78;3;20;1
74,22;3,4642;22;1
83,59;2,9821;23;0
87,5;3,8103;25;0
78,13;2,3518;23;0
61,72;2,75;24;0
87,5;3,6875;28;1
89,06;3,7678;22;1
81,25;2,8571;29;1
79,69;3,431;26;1
87,5;3,4655;23;0
67,19;2,6428;22;0
89,84;3,7619;25;1
88,28;3,3846;24;1
64,84;2,5;22;0
72,66;2,8703;27;1
86,72;3,5;28;1
45,31;2,2931;18;0
83,59;2,9074;22;1
55,47;2,2826;21;1
53,13;2,6071;24;0
75;3,629;22;0
77,34;2,7857;22;0
72,66;2,6481;26;0
78,91;2,6785;20;1
75;2,9827;27;0
94,53;3,4827;28;1
60,16;3,074;31;1
58,59;2,4782;19;0
60,94;2,4814;20;0
89,84;3,4821;26;1
87,5;2,625;25;0
61,72;1,6538;24;1
58,59;2,4259;28;1
66,41;2,1128;26;1
71,09;3,3833;25;0
35,94;1,9074;24;1
89,06;2,6875;29;0
63,28;2,8166;18;0
75;3,6071;28;1
85,16;2,4107;25;1
78,13;3,1607;20;1
82,03;3,5294;18;0
86,72;3,48;25;1
75,78;3,3214;21;0
80,47;3,5;27;0
80,47;2,3035;23;0
78,13;3,3653;27;0
84,38;3,5666;18;0
86,72;2,7037;17;1
77,34;3,3035;25;0
69,53;2,5178;23;0
77,34;2,7678;25;1
68,75;2,6128;26;1
61,72;2,2321;25;1
71,09;2,7741;23;1
78,13;2,6071;25;0
81,25;2,9444;28;1
72,66;3,7272;19;0
95,31;3,6964;25;0
53,13;2,8518;19;0
80,47;2,9821;15;1
81,25;3,0416;21;1
78,13;2,9333;20;1
65,63;2,4807;20;1
81,25;3,5217;23;1
72,66;3,4821;27;1
74,22;2,9428;20;0
49,22;1,6363;15;0
78,91;3,0178;26;0
50;2,3571;21;0
63,28;2,5;21;0
63,28;2,4791;20;0
65,63;2,537;24;0
74,22;1,7692;20;1
89,06;3,1964;22;1
82,03;2,9827;24;1
63,28;1,8035;24;0
56,25;3,3846;26;0
44,53;2,3235;19;1
82,03;3,0689;29;1
22,66;2,0454;15;0
72,66;2,7069;28;0
20,31;2,0769;19;0
95,31;3,4464;23;0
87,5;3,2688;26;1
58,59;2,5186;20;1
83,59;2,9782;23;0
82,03;2,3642;24;1
53,91;2,3082;24;0
75,78;3,0738;23;0
81,25;2,8133;28;1
83,59;3,0645;27;0
72,66;2,7926;28;0
80,47;2,6304;22;1
65,63;2,3546;24;1
63,28;2,3888;27;1
89,84;3,9649;29;0
95,31;3,25;24;0
71,88;2,7258;26;0
57,81;2,8;18;0
73,44;3,375;23;1
75;1,8703;22;0
72,66;2,8333;26;1
86,72;3,2968;22;0
80,47;3,6785;25;0
37,5;2,1333;19;0
71,88;2,7741;21;1
78,13;3,0446;22;0
61,72;2,2692;21;0
84,38;3,483;30;0
85,94;3,4435;31;0
78,91;2,6451;29;0
64,84;3,3823;30;0
70,31;2,5267;20;1
71,88;2,6949;29;0
82,81;2,3557;24;0
78,91;3,2945;26;0
57,81;2,25;24;0
82,03;2,8684;25;0
68,75;3,0086;21;0
75,78;2,4042;24;0
61,72;1,9313;24;1
74,22;2,7946;20;0
71,09;2,3617;20;1
54,69;2,4673;22;0
66,41;2,6346;25;0
60,94;2,2755;23;1
90,63;2,5983;21;0
50,78;3,0227;20;1
60,16;2,4523;16;0
77,34;2,75;22;1
87,5;3,807;27;0
60,94;2,7241;22;0
57,81;2,3775;24;1
75;3,1311;24;0
62,5;2,6;18;0
82,03;2,3728;28;0
75;2,7363;19;1
73,44;2,7672;24;1
82,03;1,7903;18;1
67,19;2,4716;23;1
73,44;3,2966;20;1
82,81;3,3152;27;1
82,81;3,1886;21;0
71,88;2,2692;24;1
85,94;3,4333;20;0
83,59;3,0916;24;0
90,63;3,1128;21;0
87,5;2,8269;21;0
83,59;3,2121;22;0
71,88;2,6666;29;0
67,19;2,42;17;1
70,31;3,1379;25;1
81,25;2,9629;24;1
74,22;2,5185;22;0
54,69;3,1379;27;0
50,78;2,34;25;1
65,63;1,875;20;0
52,34;2,4444;20;1
73,44;2,9642;22;0
65,63;2,9285;23;0
82,81;2,52;22;1
82,81;2,6206;29;0
85,94;3,0666;27;0
92,19;3,2857;28;0
67,19;1,9629;20;1
54,69;2,6607;20;1
71,88;3,1034;27;0
95,31;3,862;26;1
83,59;3,537;26;0
92,19;3,5185;26;1
72,66;2,5384;27;1
35,16;1,5178;23;1
89,06;3,431;23;1
67,19;2,4848;21;0
77,34;2,4642;23;0
92,97;3,6379;26;1
87,5;2,9259;22;1
81,25;3,1833;23;1
52,34;3,18;21;1
65,63;3,0892;19;0
32,03;2,2307;17;0
84,38;3,4137;22;0
94,53;3,8103;26;0
70,31;3,1935;25;0
91,41;3,7;22;1
61,72;2,5303;28;0
89,84;3,4482;27;1
78,13;2,12;25;0
70,31;2,1666;20;0
80,47;3,3214;23;1
87,5;3,6379;30;1
61,72;2,3214;22;1
55,47;2,3965;24;1
92,97;3,7419;25;0
85,94;3,2963;22;0
50;2,44;21;0
56,25;2,94;17;1
68,75;3,1;26;0
87,5;2,9166;22;0
66,41;3,8461;28;1
74,22;3,2321;24;0
92,97;3,5689;26;0
89,06;2,923;25;1
88,28;2,9464;22;1
77,34;2,5689;24;0
77,34;3,25;23;0
66,41;2,7758;31;1
77,34;3,0192;30;0
86,72;2;21;1
77,34;3;19;0
85,16;3,3888;21;0
70,31;3,3181;27;1
78,91;3,2419;24;0
95,31;3,7678;29;1
75,78;2,6379;24;1
74,22;3,3518;28;1
77,34;3,0161;26;0
94,53;3,5892;24;0
90,63;1,913;21;0
53,13;2,2037;28;1
92,19;3,3871;28;1
92,97;3,7142;25;1
82,81;3,1093;20;1
98,44;3,629;27;1
56,25;2,125;18;0
64,06;2,6;21;1
79,69;3,1071;23;1
78,13;2,68;22;1
93,75;2,7166;23;0
68,75;2,5178;24;1
80,47;2,7321;25;1
82,03;2,4285;21;1
92,19;3,8103;24;1
72,66;2,25;22;0
71,88;2,8653;25;1
57,03;2,8076;20;0
65,63;3,3448;25;0
84,38;3,4814;28;0
69,53;2,5769;24;0
75;2,8333;25;1
84,38;3,1153;24;1
67,97;3,4833;22;0
76,56;3,6911;28;0
80,47;2,9333;23;1
85,94;2,8333;20;1
82,81;2,8035;23;0
64,06;2,7678;21;1
66,41;2,3928;26;1
75,78;3,0714;24;1
68,75;2,6166;23;0
86,72;2,75;20;0
77,34;2,1206;26;1
82,81;3,02;27;0
75;3,2291;21;0
58,59;3,0172;22;0
35,94;1,7;21;1
56,25;2,44;20;1
84,38;3,0555;29;1
68,75;2,48;20;1
75;1,9259;18;1
62,5;2,62;19;0
65,63;2;25;0
62,5;1,4615;22;0
65,63;2,375;24;1
64,06;2,5;25;0
79,69;2,7758;27;0
75;3,3636;21;1
70,31;2,8;23;1
71,09;2,68;23;1
89,06;3,1666;19;0
63,28;3,0925;22;1
89,06;2,9166;18;0
89,84;1,8478;25;1
73,44;2,5833;21;1
93,75;3,2777;26;0
75,78;3,629;24;0
82,81;3,1206;23;0
71,88;2,9655;26;0
68,75;3,3214;27;0
89,84;3,3214;24;1
78,91;3,1607;21;0
41,41;0,875;23;0
81,25;3,0535;23;1
67,97;2,4285;28;0
38,28;2,3333;17;1
75;1,9482;24;1
79,69;3,2115;21;1
78,13;2,3888;22;1
68,75;3,1785;22;0
77,34;2,5892;21;0
91,41;3,7258;28;1
