Index;total;weekends;unem;speedlaw;beltlaw;t;M01;M02;M03;M04;M05;M06;M07;M08;M09;M10;M11;M12
1986M01;43522;13;6,6;0;1;61;1;0;0;0;0;0;0;0;0;0;0;0
1986M02;42104;12;7,7;0;1;62;0;1;0;0;0;0;0;0;0;0;0;0
1986M03;47128;14;7,1;0;1;63;0;0;1;0;0;0;0;0;0;0;0;0
1986M04;44892;12;6,7;0;1;64;0;0;0;1;0;0;0;0;0;0;0;0
1986M05;46833;14;6,1;0;1;65;0;0;0;0;1;0;0;0;0;0;0;0
1986M06;46349;13;6,5;0;1;66;0;0;0;0;0;1;0;0;0;0;0;0
1986M07;48098;12;7,5;0;1;67;0;0;0;0;0;0;1;0;0;0;0;0
1986M08;49329;15;6,7;0;1;68;0;0;0;0;0;0;0;1;0;0;0;0
1986M09;48899;12;6,2;0;1;69;0;0;0;0;0;0;0;0;1;0;0;0
1986M10;49025;13;6,2;0;1;70;0;0;0;0;0;0;0;0;0;1;0;0
1986M11;46975;14;6,5;0;1;71;0;0;0;0;0;0;0;0;0;0;1;0
1986M12;50266;12;6,3;0;1;72;0;0;0;0;0;0;0;0;0;0;0;1
1987M01;45158;14;6,9;0;1;73;1;0;0;0;0;0;0;0;0;0;0;0
1987M02;44303;12;6,7;0;1;74;0;1;0;0;0;0;0;0;0;0;0;0
1987M03;47529;13;6,3;0;1;75;0;0;1;0;0;0;0;0;0;0;0;0
1987M04;45364;12;5,8;0;1;76;0;0;0;1;0;0;0;0;0;0;0;0
1987M05;47072;15;5,6;1;1;77;0;0;0;0;1;0;0;0;0;0;0;0
1987M06;47090;12;5,4;1;1;78;0;0;0;0;0;1;0;0;0;0;0;0
1987M07;48880;13;6;1;1;79;0;0;0;0;0;0;1;0;0;0;0;0
1987M08;48357;14;5,4;1;1;80;0;0;0;0;0;0;0;1;0;0;0;0
1987M09;46768;12;5,5;1;1;81;0;0;0;0;0;0;0;0;1;0;0;0
1987M10;52326;14;5,6;1;1;82;0;0;0;0;0;0;0;0;0;1;0;0
1987M11;48475;13;5,1;1;1;83;0;0;0;0;0;0;0;0;0;0;1;0
1987M12;51924;12;4,9;1;1;84;0;0;0;0;0;0;0;0;0;0;0;1
1988M01;43569;15;5,6;1;1;85;1;0;0;0;0;0;0;0;0;0;0;0
1988M02;42585;12;5,8;1;1;86;0;1;0;0;0;0;0;0;0;0;0;0
1988M03;45944;12;5,3;1;1;87;0;0;1;0;0;0;0;0;0;0;0;0
1988M04;47003;14;5;1;1;88;0;0;0;1;0;0;0;0;0;0;0;0
1988M05;46066;13;5,8;1;1;89;0;0;0;0;1;0;0;0;0;0;0;0
1988M06;45719;12;5,4;1;1;90;0;0;0;0;0;1;0;0;0;0;0;0
1988M07;47161;15;5,9;1;1;91;0;0;0;0;0;0;1;0;0;0;0;0
1988M08;47558;12;5,6;1;1;92;0;0;0;0;0;0;0;1;0;0;0;0
1988M09;47052;13;5;1;1;93;0;0;0;0;0;0;0;0;1;0;0;0
1988M10;48297;14;4,8;1;1;94;0;0;0;0;0;0;0;0;0;1;0;0
1988M11;49136;12;5,1;1;1;95;0;0;0;0;0;0;0;0;0;0;1;0
1988M12;52971;14;4,3;1;1;96;0;0;0;0;0;0;0;0;0;0;0;1
1989M01;43142;13;5,4;1;1;97;1;0;0;0;0;0;0;0;0;0;0;0
1989M02;42475;12;5,5;1;1;98;0;1;0;0;0;0;0;0;0;0;0;0
1989M03;49753;13;4,7;1;1;99;0;0;1;0;0;0;0;0;0;0;0;0
1989M04;45161;14;5,1;1;1;100;0;0;0;1;0;0;0;0;0;0;0;0
1989M05;46083;12;5,2;1;1;101;0;0;0;0;1;0;0;0;0;0;0;0
1989M06;45540;13;5,5;1;1;102;0;0;0;0;0;1;0;0;0;0;0;0
1989M07;46325;14;5,8;1;1;103;0;0;0;0;0;0;1;0;0;0;0;0
1989M08;46742;12;4,7;1;1;104;0;0;0;0;0;0;0;1;0;0;0;0
1989M09;47932;14;5;1;1;105;0;0;0;0;0;0;0;0;1;0;0;0
1989M10;48678;13;4,6;1;1;106;0;0;0;0;0;0;0;0;0;1;0;0
1989M11;47971;12;4,9;1;1;107;0;0;0;0;0;0;0;0;0;0;1;0
1989M12;47251;15;4,8;1;1;108;0;0;0;0;0;0;0;0;0;0;0;1
